"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","一分钟以上的记录，进行语篇规整","1","0","会议记录语篇规整","0"
"0","","0","转写记录列表","2","0","会议记录语篇规整","0"
"0","","0","转写记录页面布局样式正常，文案内容正确","1","0","转写记录页面布局样式正常，文案内容正确","0"
"0","","0","转写记录列表","1","0","转写记录页面布局样式正常，文案内容正确","0"
"0","","0","专有词汇格式不正确时，在文本框下方红色字体提示“专有词汇格式不正确，输入含特殊字符的内容、含数字的内容、含特殊字符的内容","1","0","文件上传页输入专有词汇格式","0"
"0","","0","测试导入音视频","1","0","文件上传页输入专有词汇格式","0"
"0","","0","实时转写页左上角显示文件名，点击重命名图标，可进入重命名编辑状态，未修改文件名，保存文件名，文件名长度校验","1","0","会议标题编辑，格式校验","0"
"0","","0","实时转写功能","1","0","会议标题编辑，格式校验","0"
"0","","0","敏感词管理","1","0","添加敏感词","0"
"0","","0","输入2个汉字、10个汉字","1","0","添加敏感词","0"
"0","","0","转写记录列表","1","0","会议记录区分发言人","0"
"0","","0","区分发言人","1","0","会议记录区分发言人","0"
"0","","0","光标定位到文本输入框的任意位置可进入编辑状态，取消热词编辑，恢复空态显示，保存热词编辑，恢复空态显示","0","1","热词为空","0"
"0","","0","测试热词管理","0","1","热词为空","0"
"0","","0","测试导入音视频","1","0","导入英文音频，AI工具全选","0"
"0","","0","导入英文音频，AI工具全选","1","0","导入英文音频，AI工具全选","0"
"0","","0","测试热词管理","0","9","热词编辑","0"
"0","","0","热词输入2个汉字，10个汉字","0","1","热词编辑","0"
"0","","0","切换每页显示的条数，列表同步刷新当前页显示正确的条数，切换具体的页码数，会跳转到对应的页数，展示当前页的记录，点击左右切换箭头>和<，可翻到上一页，下一页，翻页后，从详情页回到列表页，列表记录回到上次浏览停留的位置","1","0","转写记录分页设置","0"
"0","","0","转写记录列表","1","0","转写记录分页设置","0"
"0","","0","同一槽位下输入重复的热词，保存时弹出toast提示","0","1","热词编辑","0"
"1","","0","转写记录列表","0","0","会议记录下载","0"
"1","","0","点击下载按钮，弹出下载弹窗，下载音频，下载会议纪要、翻译、ai摘要","0","0","会议记录下载","0"
"0","","0","实时转写页面点击麦克风图标，弹窗显示当前正在拾音的麦克风和扬声器。点击默认的音源设备名称可下拉选择其他的音源设备","1","0","切换麦克风","0"
"0","","0","实时转写功能","1","0","切换麦克风","0"
